"filename", "language", "JSON", "JavaScript", "Docker", "comment", "blank", "total"
"e:\diploma\backend\Dockerfile", "Docker", 0, 0, 8, 8, 7, 23
"e:\diploma\backend\config\Articles.js", "JavaScript", 0, 19, 0, 0, 2, 21
"e:\diploma\backend\config\Check_weights.js", "JavaScript", 0, 22, 0, 0, 6, 28
"e:\diploma\backend\config\Discounts.js", "JavaScript", 0, 13, 0, 0, 4, 17
"e:\diploma\backend\config\Keys.js", "JavaScript", 0, 11, 0, 0, 4, 15
"e:\diploma\backend\config\Likes.js", "JavaScript", 0, 22, 0, 0, 6, 28
"e:\diploma\backend\config\Marks.js", "JavaScript", 0, 14, 0, 0, 4, 18
"e:\diploma\backend\config\Points.js", "JavaScript", 0, 22, 0, 0, 6, 28
"e:\diploma\backend\config\Points_marks.js", "JavaScript", 0, 18, 0, 0, 6, 24
"e:\diploma\backend\config\Promo_codes.js", "JavaScript", 0, 20, 0, 0, 6, 26
"e:\diploma\backend\config\Ratings.js", "JavaScript", 0, 20, 0, 0, 6, 26
"e:\diploma\backend\config\Receptions.js", "JavaScript", 0, 29, 0, 0, 10, 39
"e:\diploma\backend\config\Users.js", "JavaScript", 0, 17, 0, 0, 4, 21
"e:\diploma\backend\config\cloudinaryConfig.js", "JavaScript", 0, 7, 0, 1, 3, 11
"e:\diploma\backend\config\db.js", "JavaScript", 0, 41, 0, 3, 5, 49
"e:\diploma\backend\controllers\ArticlesController.js", "JavaScript", 0, 260, 0, 23, 11, 294
"e:\diploma\backend\controllers\AuthController.js", "JavaScript", 0, 239, 0, 19, 30, 288
"e:\diploma\backend\controllers\Check_weightsController.js", "JavaScript", 0, 114, 0, 8, 18, 140
"e:\diploma\backend\controllers\DiscountsController.js", "JavaScript", 0, 218, 0, 16, 36, 270
"e:\diploma\backend\controllers\KeysController.js", "JavaScript", 0, 37, 0, 3, 8, 48
"e:\diploma\backend\controllers\MarksController.js", "JavaScript", 0, 115, 0, 4, 13, 132
"e:\diploma\backend\controllers\PointsController.js", "JavaScript", 0, 255, 0, 16, 36, 307
"e:\diploma\backend\controllers\Promo_codesController.js", "JavaScript", 0, 51, 0, 0, 6, 57
"e:\diploma\backend\controllers\RatingsController.js", "JavaScript", 0, 120, 0, 32, 15, 167
"e:\diploma\backend\controllers\ReceptionsController.js", "JavaScript", 0, 107, 0, 15, 23, 145
"e:\diploma\backend\controllers\UploadController.js", "JavaScript", 0, 16, 0, 0, 3, 19
"e:\diploma\backend\controllers\Used_discountsController.js", "JavaScript", 0, 5, 0, 91, 4, 100
"e:\diploma\backend\controllers\UsersController.js", "JavaScript", 0, 103, 0, 3, 18, 124
"e:\diploma\backend\middleware\HandleErrors.js", "JavaScript", 0, 9, 0, 0, 1, 10
"e:\diploma\backend\middleware\checkAuth.js", "JavaScript", 0, 22, 0, 20, 4, 46
"e:\diploma\backend\middleware\checkRole.js", "JavaScript", 0, 28, 0, 0, 1, 29
"e:\diploma\backend\middleware\logger.js", "JavaScript", 0, 28, 0, 0, 4, 32
"e:\diploma\backend\package-lock.json", "JSON", 3054, 0, 0, 0, 1, 3055
"e:\diploma\backend\package.json", "JSON", 38, 0, 0, 0, 1, 39
"e:\diploma\backend\routes\ArticlesRouter.js", "JavaScript", 0, 14, 0, 167, 11, 192
"e:\diploma\backend\routes\AuthRouter.js", "JavaScript", 0, 13, 0, 213, 9, 235
"e:\diploma\backend\routes\Check_weightsRouter.js", "JavaScript", 0, 11, 0, 128, 7, 146
"e:\diploma\backend\routes\DiscountsRouter.js", "JavaScript", 0, 16, 0, 207, 12, 235
"e:\diploma\backend\routes\KeysRouter.js", "JavaScript", 0, 8, 0, 41, 5, 54
"e:\diploma\backend\routes\MarksRouter.js", "JavaScript", 0, 13, 0, 141, 10, 164
"e:\diploma\backend\routes\PointsRouter.js", "JavaScript", 0, 15, 0, 208, 12, 235
"e:\diploma\backend\routes\Promo_codesRouter.js", "JavaScript", 0, 7, 0, 47, 7, 61
"e:\diploma\backend\routes\RatingsRouter.js", "JavaScript", 0, 10, 0, 97, 8, 115
"e:\diploma\backend\routes\ReceptionsRouter.js", "JavaScript", 0, 6, 0, 28, 7, 41
"e:\diploma\backend\routes\UploadRouter.js", "JavaScript", 0, 5, 0, 1, 3, 9
"e:\diploma\backend\routes\Used_discountsRouter.js", "JavaScript", 0, 6, 0, 2, 3, 11
"e:\diploma\backend\routes\UsersRouter.js", "JavaScript", 0, 11, 0, 67, 8, 86
"e:\diploma\backend\server.js", "JavaScript", 0, 108, 0, 3, 23, 134
"e:\diploma\backend\swagger\swagger.js", "JavaScript", 0, 52, 0, 0, 4, 56
"e:\diploma\backend\validations\ArticlesValidations.js", "JavaScript", 0, 10, 0, 2, 2, 14
"e:\diploma\backend\validations\AuthValidations.js", "JavaScript", 0, 14, 0, 0, 3, 17
"e:\diploma\backend\validations\DiscountsValidations.js", "JavaScript", 0, 6, 0, 4, 2, 12
"e:\diploma\backend\validations\MarksValidations.js", "JavaScript", 0, 20, 0, 0, 6, 26
"e:\diploma\backend\validations\PointsValidations.js", "JavaScript", 0, 16, 0, 0, 4, 20
"e:\diploma\backend\validations\RatingsValidations.js", "JavaScript", 0, 5, 0, 0, 1, 6
"e:\diploma\backend\validations\ReceptionsValidations.js", "JavaScript", 0, 5, 0, 1, 2, 8
"Total", "-", 3092, 2373, 8, 1619, 461, 7553